Unnamed: 0,x,y,area,pixelValue,height,heights
327,3079,3721,1442,123,9.906627450980068,tensor([[10.2294]])
328,3079,3721,1436,123,9.923137254901576,tensor([[10.2297]])
329,764,3708,719.5,148,10.28635294117612,tensor([[10.2620]])
330,764,3708,716.5,148,9.725019607843478,tensor([[10.2622]])
331,2841,3726,2054.5,150,9.89011764705856,tensor([[10.2017]])
332,2841,3726,2049.5,150,9.89011764705856,tensor([[10.2020]])
333,2346,3707,795,123,8.965568627450921,tensor([[10.2586]])
334,2346,3707,790.5,123,9.807568627451021,tensor([[10.2588]])
335,3678,3693,761,147,10.23682352941159,tensor([[10.2602]])
336,3678,3693,758.5,147,10.1542745098036,tensor([[10.2603]])
337,3584,3697,1520.5,150,10.31937254901959,tensor([[10.2259]])
338,3584,3697,1514.5,150,10.40192156862759,tensor([[10.2261]])
339,2705,3683,900.5,147,10.22031372549009,tensor([[10.2539]])
340,2705,3683,897,147,10.2533333333331,tensor([[10.2540]])
341,2113,3678,682.5,147,10.2533333333331,tensor([[10.2637]])
342,2113,3678,678.5,147,10.23682352941159,tensor([[10.2639]])
343,1894,3681,2082,147,10.13776470588209,tensor([[10.2005]])
344,1894,3681,2077,147,10.13776470588209,tensor([[10.2007]])
345,3149,3672,1055.5,151,10.36890196078411,tensor([[10.2469]])
346,3149,3672,1052,151,9.956156862744592,tensor([[10.2470]])
347,47,3662,686.5,156,10.30286274509808,tensor([[10.2635]])
348,47,3662,684.5,156,10.31937254901959,tensor([[10.2636]])
349,2219,3642,710.5,148,10.30286274509808,tensor([[10.2624]])
350,2219,3642,707,148,10.31937254901959,tensor([[10.2626]])
351,2175,3646,964,152,10.38541176470562,tensor([[10.2510]])
352,2175,3646,960,152,10.2533333333331,tensor([[10.2512]])
353,2021,3642,737,150,10.31937254901959,tensor([[10.2612]])
354,2021,3642,735,150,10.36890196078411,tensor([[10.2613]])
355,623,3646,852.5,147,9.312274509803956,tensor([[10.2560]])
356,623,3646,849.5,147,9.807568627451021,tensor([[10.2562]])
357,2999,3647,1782,147,10.07172549019606,tensor([[10.2140]])
358,2999,3647,1775,147,9.675490196078044,tensor([[10.2144]])
359,2568,3642,1501,123,8.982078431372429,tensor([[10.2267]])
360,2568,3642,1494.5,123,9.345294117646972,tensor([[10.2270]])
361,3738,3610,689,150,10.35239215686261,tensor([[10.2634]])
362,3738,3610,688,150,10.36890196078411,tensor([[10.2635]])
363,3592,3601,863.5,151,9.906627450980068,tensor([[10.2555]])
