x,y,area,height
863,4764,0.04,1.576039215686251
870,4756,0.09,1.576039215686251
3017,4749,0.2,1.423960784313749
2984,4771,10.98,13.42396078431375
1469,4767,10.395,13.42396078431375
3915,4751,4.475,11.42396078431375
1602,4742,0.04,1.576039215686251
856,4742,0.04,1.576039215686251
567,4758,6.47,7.423960784313749
509,4753,4.65,22.42396078431375
2781,4737,0.415,0.4239607843137492
917,4748,1.885,1.576039215686251
896,4735,0.2,1.576039215686251
4063,4769,22.46,14.42396078431375
878,4727,0.06,1.576039215686251
3889,4777,38.665,2.576039215686251
142,4740,10.475,24.42396078431375
1758,4742,21.875,12.42396078431375
1657,4729,9.6,24.42396078431375
1558,4713,0.04,1.576039215686251
1538,4748,25.53,16.42396078431375
3200,4745,62.665,20.42396078431375
2952,4731,17.44,27.42396078431375
6817,4698,0.04,0.5760392156862508
1507,4698,0.04,1.576039215686251
6824,4691,0.04,2.576039215686251
3041,4698,3.04,10.42396078431375
1894,4691,0.06,1.576039215686251
1492,4691,0.04,1.576039215686251
555,4699,3.04,7.423960784313749
366,4727,41.83,27.42396078431375
1499,4683,0.11,1.576039215686251
3639,4757,137.86,1.576039215686251
2775,4692,12.36,22.42396078431375
4087,4695,17.48,11.42396078431375
3964,4687,17.97,10.42396078431375
3815,4679,12.64,16.42396078431375
2538,4661,0.08,2.576039215686251
2510,4666,0.385,1.576039215686251
2457,4661,0.09,1.576039215686251
2549,4654,0.77,2.576039215686251
770,4672,14.19,19.42396078431375
572,4658,4.49,13.42396078431375
497,4672,20.975,15.42396078431375
2516,4639,0.06,1.576039215686251
3891,4636,0.2,2.423960784313749
3011,4659,24.62,29.42396078431375
2538,4632,0.04,1.576039215686251
2479,4636,0.3,1.576039215686251
2392,4636,0.2,2.576039215686251
884,4667,39.645,25.42396078431375
692,4652,6.475,20.42396078431375
3754,4650,20.665,24.42396078431375
2472,4625,0.04,1.576039215686251
1634,4634,1.145,8.423960784313749
3305,4630,2.455,4.423960784313749
2523,4621,0.27,1.576039215686251
1513,4644,24.5,30.42396078431375
102,4618,0.06,2.423960784313749
6971,4628,1.56,4.423960784313749
3706,4638,7.33,10.42396078431375
3511,4618,2.255,10.42396078431375
3379,4651,28.52,18.42396078431375
2560,4610,0.06,1.576039215686251
2487,4610,0.06,1.576039215686251
2450,4610,0.06,1.576039215686251
1924,4610,0.06,1.576039215686251
6626,4613,0.3,2.576039215686251
3353,4603,0.18,1.576039215686251
2540,4605,0.405,1.576039215686251
2457,4603,0.06,1.576039215686251
1140,4630,13.235,18.42396078431375
3321,4599,0.18,1.576039215686251
2567,4596,0.04,1.576039215686251
3269,4588,0.09,1.576039215686251
2611,4588,0.06,1.576039215686251
2531,4588,0.06,1.576039215686251
2465,4588,0.06,2.576039215686251
1442,4620,26.27,19.42396078431375
161,4617,26.015,26.42396078431375
6873,4594,3.885,1.576039215686251
4184,4581,0.04,1.576039215686251
2425,4585,1,0.5760392156862508
1239,4596,8.640000000000001,14.42396078431375
343,4593,3.91,9.423960784313749
4209,4574,0.18,1.576039215686251
4006,4587,2.645,9.423960784313749
3366,4576,0.455,1.576039215686251
2501,4574,0.06,2.576039215686251
950,4578,1.7,11.42396078431375
119,4578,0.975,5.423960784313749
3141,4599,22.22,28.42396078431375
3546,4574,12.115,21.42396078431375
2516,4559,0.04,1.576039215686251
2434,4565,0.905,2.576039215686251
1190,4593,21.185,7.423960784313749
455,4575,3.61,3.423960784313749
4235,4552,0.04,1.576039215686251
2523,4552,0.06,1.576039215686251
904,4570,7.135,2.576039215686251
2585,4549,1.045,6.423960784313749
2473,4564,7.755,8.423960784313749
2421,4544,0.06,2.576039215686251
497,4572,16.655,23.42396078431375
2392,4544,0.07000000000000001,2.576039215686251
3856,4577,24.91,32.42396078431375
3630,4595,55.175,21.42396078431375
2428,4537,0.06,2.576039215686251
1732,4594,59.625,0.4239607843137492
1474,4565,17.815,23.42396078431375
303,4555,9.9,12.42396078431375
2398,4533,0.26,2.576039215686251
1328,4560,20.705,22.42396078431375
637,4617,92.11499999999999,2.576039215686251
3774,4522,0.06,0.4239607843137492
2494,4522,0.06,1.576039215686251
6928,4542,26.22,12.42396078431375
2432,4515,0.2,1.576039215686251
1948,4528,3.995,9.423960784313749
2411,4513,0.385,2.576039215686251
4220,4504,0.3,1.576039215686251
2436,4500,0.06,1.576039215686251
1527,4507,3.04,11.42396078431375
715,4523,10.735,8.423960784313749
329,4500,0.06,5.423960784313749
138,4526,21.295,25.42396078431375
4102,4527,28.865,8.423960784313749
4017,4514,15.24,8.423960784313749
1137,4523,16.39,25.42396078431375
4228,4486,0.04,1.576039215686251
2457,4486,0.06,1.576039215686251
1384,4517,30.27,10.42396078431375
2570,4492,6.955,14.42396078431375
870,4495,6.91,20.42396078431375
2897,4474,6.055,15.42396078431375
29,4584,97.55500000000001,0.5760392156862508
3043,4457,0.04,2.576039215686251
1877,4499,54.03,30.42396078431375
66,4457,0.04,6.423960784313749
2629,4465,4.15,13.42396078431375
2095,4449,0.27,1.576039215686251
680,4459,3.865,9.423960784313749
568,4509,39.33,10.42396078431375
3031,4447,1.555,1.576039215686251
3013,4442,0.06,1.576039215686251
2436,4442,0.04,2.576039215686251
748,4484,32.19,15.42396078431375
2494,4435,0.04,1.576039215686251
1262,4492,76.94,20.42396078431375
3079,4427,0.06,1.576039215686251
47,4442,7.21,10.42396078431375
3982,4444,17.125,27.42396078431375
2974,4447,24.92,21.42396078431375
2465,4424,0.2,1.576039215686251
998,4518,91.63,9.423960784313749
394,4444,14.31,21.42396078431375
103,4447,17.605,30.42396078431375
6948,4416,7.345,12.42396078431375
1565,4409,0.2,4.423960784313749
4001,4402,0.2,1.576039215686251
1309,4402,0.2,8.423960784313749
484,4435,21.975,2.423960784313749
6919,4394,0.27,1.576039215686251
3123,4394,0.18,2.423960784313749
2060,4395,0.455,1.576039215686251
6927,4383,0.06,1.576039215686251
1600,4418,25.22,28.42396078431375
791,4392,6.61,8.423960784313749
1441,4375,0.06,5.423960784313749
3028,4393,15.08,19.42396078431375
1433,4369,0.06,7.423960784313749
1373,4381,5.035,13.42396078431375
3330,4367,0.525,0.5760392156862508
3081,4366,0.365,7.423960784313749
305,4387,20.69,19.42396078431375
6319,4354,0.06,2.576039215686251
3679,4354,0.04,2.576039215686251
3653,4368,8.220000000000001,12.42396078431375
452,4370,9.515000000000001,11.42396078431375
6312,4347,0.04,1.576039215686251
3006,4350,0.18,1.423960784313749
2062,4350,0.27,2.576039215686251
626,4375,11.105,12.42396078431375
1324,4352,3.695,16.42396078431375
1469,4368,30.78,12.42396078431375
4154,4329,0.3,2.576039215686251
2899,4345,13.24,17.42396078431375
3635,4324,0.05,2.576039215686251
6935,4342,16.565,16.42396078431375
3219,4478,455.735,6.423960784313749
902,4327,1.215,14.42396078431375
680,4336,4.755,4.423960784313749
360,4351,8.425000000000001,6.423960784313749
3486,4352,34.14,28.42396078431375
2597,4328,13.055,18.42396078431375
5493,4303,0.04,1.576039215686251
4019,4303,0.2,1.576039215686251
742,4333,27.16,12.42396078431375
4092,4323,14.545,26.42396078431375
1125,4327,30.23,30.42396078431375
6839,4288,0.06,1.576039215686251
5467,4288,0.27,2.576039215686251
3045,4309,15.175,16.42396078431375
552,4303,6.89,9.423960784313749
6341,4285,0.3,1.576039215686251
5486,4281,0.04,1.576039215686251
3972,4281,0.04,2.576039215686251
3378,4326,85.645,1.576039215686251
6322,4273,1.85,8.423960784313749
4015,4266,0.09,2.576039215686251
2728,4259,0.04,3.423960784313749
5566,4252,0.04,1.576039215686251
4037,4252,0.06,2.576039215686251
3461,4266,7.35,20.42396078431375
3562,4244,0.06,1.576039215686251
2655,4254,1.7,9.423960784313749
6736,4237,0.06,1.576039215686251
6707,4237,0.04,1.576039215686251
6678,4241,0.2,1.576039215686251
5573,4237,0.06,1.576039215686251
4037,4237,0.06,2.576039215686251
2799,4273,32.825,35.42396078431375
5437,4246,1.845,1.576039215686251
6780,4222,0.09,1.576039215686251
6678,4222,0.06,1.576039215686251
1394,4235,1.46,11.42396078431375
120,4247,10.92,21.42396078431375
5508,4215,0.04,0.5760392156862508
304,4234,9.375,27.42396078431375
6846,4244,30.545,16.42396078431375
